run,window_pair,m1_s,m2_s,cost_per_s,benefit_per_sale,roc_auc_test_m1,roc_auc_test_m2,threshold_m1,threshold_m2,baseline_avg_reward,baseline_sales,baseline_time_s,agent_avg_reward,agent_sales,agent_time_s,sales_lost,time_saved_s,time_saved_pct,reward_gained
RF1_cost0.1_ben10 x WP1_175_260,WP1_175_260,175,260,0.1,10.0,0.833,0.533,0.0046,0.9047,-59.13,6,7695.3,-27.64,2,3517.0,4,4178.3,54.3,377.83
RF2_cost0.5_ben10 x WP1_175_260,WP1_175_260,175,260,0.5,10.0,0.833,0.533,0.2751,0.9047,-315.64,6,7695.3,-89.12,1,2159.0,5,5536.3,71.9,2718.14
RF3_cost1.0_ben1000 x WP1_175_260,WP1_175_260,175,260,1.0,1000.0,0.833,0.533,0.0045,-0.0,-141.27,6,7695.3,-121.69,6,7460.3,0,235.0,3.1,235.0
RF4_cost5.0_ben1000 x WP1_175_260,WP1_175_260,175,260,5.0,1000.0,0.833,0.533,0.0046,0.9047,-2706.37,6,7695.3,-1298.75,2,3517.0,4,4178.3,54.3,16891.4
RF1_cost0.1_ben10 x WP2_260_350,WP2_260_350,260,350,0.1,10.0,0.6,0.533,0.0109,0.9906,-59.13,6,7695.3,-27.76,1,3431.0,5,4264.3,55.4,376.43
RF2_cost0.5_ben10 x WP2_260_350,WP2_260_350,260,350,0.5,10.0,0.6,0.533,0.0109,0.9906,-315.64,6,7695.3,-142.12,1,3431.0,5,4264.3,55.4,2082.14
RF3_cost1.0_ben1000 x WP2_260_350,WP2_260_350,260,350,1.0,1000.0,0.6,0.533,-0.0,-0.0,-141.27,6,7695.3,-141.27,6,7695.3,0,0.0,0.0,0.0
RF4_cost5.0_ben1000 x WP2_260_350,WP2_260_350,260,350,5.0,1000.0,0.6,0.533,0.0109,0.9906,-2706.37,6,7695.3,-1346.25,1,3431.0,5,4264.3,55.4,16321.4
RF1_cost0.1_ben10 x WP3_350_400,WP3_350_400,350,400,0.1,10.0,0.4,0.9,0.0038,0.9878,-59.13,6,7695.3,-31.53,1,3884.0,5,3811.3,49.5,331.13
RF2_cost0.5_ben10 x WP3_350_400,WP3_350_400,350,400,0.5,10.0,0.4,0.9,0.0038,0.9878,-315.64,6,7695.3,-161.0,1,3884.0,5,3811.3,49.5,1855.64
RF3_cost1.0_ben1000 x WP3_350_400,WP3_350_400,350,400,1.0,1000.0,0.4,0.9,-0.0,0.0014,-141.27,6,7695.3,-141.27,6,7695.3,0,0.0,0.0,0.0
RF4_cost5.0_ben1000 x WP3_350_400,WP3_350_400,350,400,5.0,1000.0,0.4,0.9,0.0038,0.9878,-2706.37,6,7695.3,-1535.0,1,3884.0,5,3811.3,49.5,14056.4
